"","initials","year_pub","journal_id","volume","issue","first_author","table_no","table_loc","coefficient","std_error","error_type","sample_size","study_type","mult_hyp..Y...1..N...0.","mult_hyp_corr.Y..1..N...0.","main_results..Y.1..N.0.","data_available","code_available","notes","Checking.Notes","Keep","checked","Bayesian..Y.1..N..0.","report_power","mixed_effects","reason"
"34","LW",2019,"EL",22,6,"Barrow","1","main",24.3,15.1,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"35","LW",2019,"EL",22,6,"Barrow","1","main",20.3,9.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"36","LW",2019,"EL",22,6,"Barrow","1","main",2.9,11.3,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"58","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.13,0.02,"SE",881,"experimental",0,0,1,1,0,NA,"not sure that we can use this one either. Each coefficient is from a replicate over time.","no","yes",NA,NA,NA,"Not model coef"
"59","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.14,0.01,"SE",827,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"60","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.01,"SE",809,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"61","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.17,0.02,"SE",795,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"62","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.14,0.01,"SE",770,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"63","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.12,0.02,"SE",757,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"64","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.12,0.02,"SE",729,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"65","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.13,0.02,"SE",692,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"66","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.22,0.01,"SE",681,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"67","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.21,0.01,"SE",673,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"68","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.14,0.03,"SE",671,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"69","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.28,0.03,"SE",668,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"70","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.28,0.03,"SE",658,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"71","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.17,0.03,"SE",653,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"72","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.28,0.03,"SE",647,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"73","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.13,0.02,"SE",624,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"74","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.29,0.03,"SE",608,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"75","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.35,0.02,"SE",600,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"76","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.37,0.03,"SE",591,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"77","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.37,0.03,"SE",591,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"78","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.19,0.01,"SE",588,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"79","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.19,0.01,"SE",586,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"80","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.2,0.02,"SE",586,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"81","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.37,0.03,"SE",585,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"82","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.2,0.01,"SE",580,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"83","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.19,0.01,"SE",577,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"84","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.16,0.02,"SE",559,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"85","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.02,"SE",544,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"86","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.03,"SE",540,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"87","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.02,"SE",532,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"88","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.23,0.06,"SE",527,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"89","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.22,0.03,"SE",522,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"90","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.02,"SE",519,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"91","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.16,0.02,"SE",508,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"92","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.23,0.03,"SE",508,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"93","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.23,0.08,"SE",502,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"94","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.25,0.02,"SE",500,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"95","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.25,0.02,"SE",499,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"96","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.25,0.04,"SE",490,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"97","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.16,0.02,"SE",487,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"98","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.02,"SE",481,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"99","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.23,0.02,"SE",479,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"100","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.26,0.04,"SE",464,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"101","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.26,0.04,"SE",419,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"102","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.14,0.03,"SE",405,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"103","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.16,0.03,"SE",395,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"104","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.16,0.02,"SE",375,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"105","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.24,0.03,"SE",353,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"106","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.17,0.02,"SE",353,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"107","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.27,0.02,"SE",340,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"108","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.19,0.01,"SE",337,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"109","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.26,0.02,"SE",331,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"110","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.15,0.02,"SE",322,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"111","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.25,0.05,"SE",319,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"112","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.2,0.01,"SE",296,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"113","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.2,0.01,"SE",292,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"114","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.26,0.02,"SE",290,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"115","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.17,0.03,"SE",288,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"116","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.16,0.02,"SE",287,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"117","LW",2018,"EL",21,10,"Brandenburg","S2","supplement",0.21,0.02,"SE",245,"experimental",0,0,1,1,0,NA,NA,"no","yes",NA,NA,NA,NA
"121","LW",2019,"EL",22,12,"Burant","1","main",0.051,0.049,"CI",1000,"experimental",1,0,1,1,0,NA,"random effects","no","yes",1,NA,NA,"Not model coef"
"126","LW",2019,"EL",22,12,"Burant","1","main",0.04,0.072,"CI",1000,"experimental",1,0,1,1,0,NA,"random effects","no","yes",1,NA,NA,"Not model coef"
"131","LW",2019,"EL",22,12,"Burant","1","main",0.066,0.062,"CI",1000,"experimental",1,0,1,1,0,NA,"random effects","no","yes",1,NA,NA,"Not model coef"
"136","LW",2019,"EL",22,12,"Burant","1","main",0.034,0.033,"CI",1000,"experimental",1,0,1,1,0,NA,"random effects","no","yes",1,NA,NA,"Not model coef"
"664","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.345,0.014,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"665","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.214,0.036,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"666","LW",2019,"EL",22,2,"Chu","S4.1","supplement",-1.079,0.07,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"667","LW",2019,"EL",22,2,"Chu","S4.1","supplement",-0.143,0.063,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"668","LW",2019,"EL",22,2,"Chu","S4.1","supplement",-1.327,0.081,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"669","LW",2019,"EL",22,2,"Chu","S4.1","supplement",-0.172,0.073,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"670","LW",2019,"EL",22,2,"Chu","S4.1","supplement",-0.106,0.023,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"671","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.2,0.02,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"672","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.079,0.038,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"673","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.067,0.005,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"674","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.016,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"675","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.09,0.005,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"676","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.12,0.007,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"677","LW",2019,"EL",22,2,"Chu","S4.1","supplement",0.018,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"678","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.15,0.026,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"679","LW",2019,"EL",22,2,"Chu","S4.10","supplement",-0.109,0.035,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"680","LW",2019,"EL",22,2,"Chu","S4.10","supplement",-0.247,0.121,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"681","LW",2019,"EL",22,2,"Chu","S4.10","supplement",-0.653,0.08,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"682","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.148,0.019,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"683","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.096,0.023,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"684","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.018,0.008,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"685","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.011,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"686","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.134,0.018,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"687","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.058,0.008,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"688","LW",2019,"EL",22,2,"Chu","S4.10","supplement",0.005,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"689","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.319,0.032,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"690","LW",2019,"EL",22,2,"Chu","S4.11","supplement",-0.172,0.059,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"691","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.943,0.146,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"692","LW",2019,"EL",22,2,"Chu","S4.11","supplement",-0.125,0.03,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"693","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.345,0.053,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"694","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.407,0.034,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"695","LW",2019,"EL",22,2,"Chu","S4.11","supplement",-0.164,0.052,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"696","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.016,0.005,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"697","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.008,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"698","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.079,0.011,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"699","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.006,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"700","LW",2019,"EL",22,2,"Chu","S4.11","supplement",0.024,0.003,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"701","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.313,0.071,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"702","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.181,0.052,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"703","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.166,0.066,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"704","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.491,0.132,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"705","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.64,0.165,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"706","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.277,0.083,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"707","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.168,0.085,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"708","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.065,0.024,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"709","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.235,0.05,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"710","LW",2019,"EL",22,2,"Chu","S4.12","supplement",-0.014,0.004,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"711","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.01,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"712","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.073,0.011,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"713","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.019,0.003,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"714","LW",2019,"EL",22,2,"Chu","S4.12","supplement",0.005,0.001,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"715","LW",2019,"EL",22,2,"Chu","S4.13","supplement",0.201,0.055,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"716","LW",2019,"EL",22,2,"Chu","S4.13","supplement",-0.138,0.066,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"717","LW",2019,"EL",22,2,"Chu","S4.13","supplement",-0.317,0.118,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"718","LW",2019,"EL",22,2,"Chu","S4.13","supplement",-0.461,0.095,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"719","LW",2019,"EL",22,2,"Chu","S4.13","supplement",-0.683,0.16,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"720","LW",2019,"EL",22,2,"Chu","S4.13","supplement",-0.416,0.162,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
"721","LW",2019,"EL",22,2,"Chu","S4.13","supplement",0.567,0.135,"SE",NA,"observational",1,0,1,1,0,NA,"unsure of n","no","yes",NA,NA,NA,"unclear n"
